Audit and Compliance 1.3.1 - Procedures ensuring Compliance - Procedures ensuring Compliance	Do you have a policy or procedure to ensure compliance with applicable legislative, regulatory, and contractual requirements?	Specify if you have a policy or procedure to ensure compliance with applicable legislative, regulatory, and contractual requirements. If yes, list details about the procedure and upload manual evidence.	Yes.	Our policy requires following the law and compliance requirements where we operate.
Risk Management/Incident Response 5.1.6 - Risk Assessment - Accept Risks (Requires manual attestation)	Is there a process for management to knowingly and objectively accept risks and approve action plans?	Specify if there is a process for management to understand and accept risks, and to approve action plans and a time line to fix a risk-related issue. Does the process include providing details of the metrics behind each risk to the management?	Yes.	The risk assessment process is engaged when any material business change is proposed, with detailed benefit and risk metrics documented and evaluated by management before implementation.
Risk Management/Incident Response 5.1.7 - Risk Assessment - Risk Metrics (Requires manual attestation)	Do you have measures in place to define, monitor, and report risk metrics?	Specify if there is a process to define, monitor, and report risk metrics.	Yes.	
Risk Management/Incident Response 5.2.1 - Incident Management - Incident Response Plan	Is there a formal Incident Response Plan?	Specify if there is a formal Incident Response Plan.	Yes.	
Risk Management/Incident Response 5.2.2 - Incident Management - Contact to Report Security Incidents (Requires manual attestation)	Is there a process for customers to report a security incident?	Specify if there is a process for customers to report a security incident. If yes, how can a customer report security incident?	Yes.	Documented disclosure process on public website.
Risk Management/Incident Response 5.2.3 - Incident Management - Report Incidents/Key Activities	Do you report key activities?	Do you report key activities? What is the SLA for reporting key activities?	Yes.	Key Activities are documented and used in the risk assessment process. 
Risk Management/Incident Response 5.2.4 - Incident Management - Incident Recovery	Do you have disaster recovery plans?	Specify if you have plans for recovery after an incident occurs. If yes, can you share details about the recovery plans?	Yes.	The service is designed to be substantially robust so our recovery plan largely details the worst-case (and very unlikely) scenario of needing to do a full rebuild from scratch. Recovery of access to source control should GitHub become unavailable, as well as accounting and banking are also covered.
Risk Management/Incident Response 5.2.5 - Incident Management - Logs Available to Buyers in case of an Attack (Requires manual attestation)	In case of an attack, will relevant resources (such as logs, incident report, or data) be available to customers?	Will relevant resources (such as logs, incident report, or data) related to their use be available to customers in case an attack or incident occurs?	Yes.	Within the scope of their use and not to the detriment of other customers.
Risk Management/Incident Response 5.2.6 - Incident Management - Security Bulletin (Requires manual attestation)	Do you have a security bulletin that outlines latest attacks and vulnerabilities affecting your applications?	Specify if you have a security bulletin that outlines latest attacks and vulnerabilities affecting your applications. If yes, can you provide the details?	No.	
Risk Management/Incident Response 5.3.1 - Incident Detection - Comprehensive Logging	Is there comprehensive logging to support the identification and mitigation of incidents?	Specify if there is comprehensive logging enabled. Identify the types of events that the system is capable of logging. How long are logs retained?	Yes.	
Risk Management/Incident Response 5.3.2 - Incident Detection - Log Monitoring	Do you monitor and alert on unusual or suspicious activities using detection mechanisms such as log monitoring?	Specify if regular security monitoring and alerting is performed. If yes, does it include log monitoring for unusual or suspicious behavior?	Yes.	We have limited log monitoring in place and are working to expand it to detect a wider range of potentially anomolous behavior indicated in logs.
Risk Management/Incident Response 5.3.3 - Incident Detection - Third Party Data Breach	Is there a process to identify and detect and log subcontractor security, privacy, or data breach issues?	Specify if there is a process in place to identify and detect third-party vendors or subcontractors for data breach, security issues, or privacy issues.	Yes.	No current subcontractors.  AWS notification systems.
Risk Management/Incident Response 5.4.1 - SLA for Incident Notification (Requires manual attestation)	What is the SLA for sending notification about incidents or breaches?	What is the SLA for sending notification about incidents or breaches?	Within 48 hours after the vulnerability is resolved.	We don't notify customers or the public until ongoing risk of exploitation has been remeadiated, unless remediation requires customer engagement.
Security and Configuration Policy 10.1.1 - Policies for Information Security - Information Security Policy	Do you have an information security policy that is owned and maintained by a security team?	Specify if you have an information security policy. If yes, share or upload a manual evidence.	Yes.	
Security and Configuration Policy 10.1.2 - Policies for Information Security - Policy Review	Are all security policies reviewed annually?	Specify if security policies are reviewed annually. If no, how often are the policies reviewed?	Yes.	Annually.
Security and Configuration Policy 10.2.1 - Policies for Security Configurations - Security Configurations (Requires manual attestation)	Are security configuration standards maintained and documented?	Specify if all security configuration standards are maintained and documented. If yes, share or upload a manual evidence.	Yes.	All infrastructure and system configurations are maintained as Infrastructure as Code in CloudFormation templates under version control,
Security and Configuration Policy 10.2.2 - Policies for Security Configurations - Security Configurations Review (Requires manual attestation)	Are security configurations reviewed at least annually?	Specify if security configurations are reviewed at least annually. If no, specify the frequency of review.	Yes.	Security configurations are automatically evaluated when changes are made via AWS Config and Security Hub.  Manual security inspections and reviews are performed at least quarterly.
Security and Configuration Policy 10.2.3 - Policies for Security Configurations - Changes to Configurations	Are changes to configurations logged?	Specify if configuration changes are logged. If yes, how long are the logs retained?	Yes.	Logs of internal service configuration changes and customer configuration changes are retained for three years.  Version control records of IaC are maintained indefinately.
